source,title,url,published,summary
Startups | TechCrunch,"منافس رقائق Nvidia AI Groq يجمع تمويلاً أكثر من المتوقع، ويصل تقييمه إلى 6.9 مليار دولار",https://techcrunch.com/2025/09/17/nvidia-ai-chip-challenger-groq-raises-even-more-than-expected-hits-6-9b-valuation/,"Wed, 17 Sep 2025 23:51:42 +0000","يأتي التمويل الجديد أعلى من الأرقام المشاعة عندما تسربت الأخبار في يوليو بأنه كان يجمع تمويلاً."
Startups | TechCrunch,"شركة Keplar الناشئة في مجال الذكاء الاصطناعي الصوتي المدعومة من Kleiner Perkins تهدف إلى استبدال أبحاث السوق التقليدية",https://techcrunch.com/2025/09/17/kleiner-perkins-backed-voice-ai-startup-keplar-aims-to-replace-traditional-market-research/,"Wed, 17 Sep 2025 19:54:17 +0000","جمعت الشركة الناشئة البالغة من العمر عامين جولة تمويل أولية بقيمة 3.2 مليون دولار بقيادة Kleiner Perkins."
Startups | TechCrunch,"لماذا يفوز المؤسسون الأوروبيون (والأمر لا يتعلق بالعمل أقل)",https://techcrunch.com/podcast/why-european-founders-are-winning-and-its-not-about-working-less/,"Wed, 17 Sep 2025 17:34:31 +0000","يشهد مشهد الشركات الناشئة في أوروبا لحظة فارقة، مع تزايد عدد الشركات الأوروبية أحادية القرن وتأسيس شركات رأس المال الاستثماري الأمريكية لمتاجرها عبر المحيط الأطلسي. ولكن بينما يهيمن التمويل الأوروبي على المراحل المبكرة، لا يزال رأس المال في المراحل المتقدمة يتدفق بشكل أساسي من الولايات المتحدة. فماذا يعني هذا للمؤسسين الأوروبيين، وكيف تشكل القارة هويتها الخاصة في […]"
Startups | TechCrunch,"Airbuds هي شبكة التواصل الاجتماعي الموسيقية التي كانت Apple و Spotify تتمنيان لو أنهما أنشأتاها",https://techcrunch.com/2025/09/17/airbuds-is-the-music-social-network-apple-and-spotify-wish-they-had-built/,"Wed, 17 Sep 2025 16:36:38 +0000","تجمع Airbuds، وهي تطبيق اجتماعي موسيقي يستهدف الجيل Z، مبلغ 5 ملايين دولار مع وصول التطبيق إلى 5 ملايين مستخدم شهريًا."
Startups | TechCrunch,"الذكاء الاصطناعي ومستقبل الدفاع: إيثان ثورنتون من Mach Industries في TechCrunch Disrupt 2025",https://techcrunch.com/2025/09/17/the-new-face-of-defense-tech-takes-the-ai-stage-at-techcrunch-disrupt-2025/,"Wed, 17 Sep 2025 16:00:00 +0000","ينضم إيثان ثورنتون، الرئيس التنفيذي لشركة Mach Industries، إلى منصة الذكاء الاصطناعي في TechCrunch Disrupt 2025 (27-29 أكتوبر، سان فرانسيسكو) لمناقشة كيف يغير الذكاء الاصطناعي الدفاع - من الأسلحة المستقلة إلى الاستراتيجية اللامركزية. سجل الآن ووفر ما يصل إلى 650 دولارًا قبل زيادة الأسعار."
Startups | TechCrunch,"من Startup Battlefield إلى منصة Disrupt: مؤسس Discord جيسون سيترون يعود إلى TechCrunch Disrupt 2025",https://techcrunch.com/2025/09/17/from-startup-battlefield-200-to-the-disrupt-stage-discord-founder-jason-citron-returns-to-techcrunch-disrupt-2025/,"Wed, 17 Sep 2025 14:30:00 +0000","من Startup Battlefield في 2013 إلى منصة Disrupt في 2018: يعود مؤسس Discord جيسون سيترون إلى TechCrunch Disrupt 2025 في سان فرانسيسكو في 27-29 أكتوبر. سجل هنا للانضمام."
Startups | TechCrunch,"أنتون أوسيكا، المؤسس المشارك والرئيس التنفيذي لشركة Lovable، يتحدث عن بناء واحدة من أسرع الشركات الناشئة نموًا في التاريخ في TechCrunch Disrupt 2025",https://techcrunch.com/2025/09/17/lovable-ceo-anton-osika-on-building-one-of-the-fastest-growing-startups-in-history-at-techcrunch-disrupt-2025/,"Wed, 17 Sep 2025 14:00:00 +0000","أصبحت Lovable بسرعة واحدة من أكثر الشركات الناشئة التي يتم الحديث عنها هذا العام، حيث حطمت الأرقام القياسية وتصدرت العناوين كواحدة من أسرع شركات البرمجيات نموًا في التاريخ. سيصعد المؤسس المشارك والرئيس التنفيذي أنتون أوسيكا إلى منصة Disrupt لمناقشة ""Lovable ومستقبل تكنولوجيا المستهلك"". سجل هنا لحجز مقعدك."
Startups | TechCrunch,"Google Ventures تضاعف استثمارها في شركة Blacksmith الناشئة لأدوات المطورين بعد 4 أشهر فقط من جولتها الأولية",https://techcrunch.com/2025/09/17/google-ventures-doubles-down-on-dev-tool-startup-blacksmith-just-4-months-after-its-seed-round/,"Wed, 17 Sep 2025 11:00:00 +0000","جمعت Blacksmith، خريجة Y Combinator، 10 ملايين دولار في جولة Series A بقيادة Google Ventures لخفض التكاليف وتسريع بناء البرمجيات."
Startups | TechCrunch,"Groww، المدعومة من ساتيا ناديلا، من المقرر أن تصبح أول شركة هندية ناشئة يتم طرحها للاكتتاب العام بعد انتقالها من الولايات المتحدة إلى الهند",https://techcrunch.com/2025/09/16/groww-backed-by-satya-nadella-set-to-become-first-indian-startup-to-go-public-after-u-s-to-india-move/,"Wed, 17 Sep 2025 01:32:17 +0000","من المتوقع أن يتضاعف إدراج Groww - المتوقع في وقت لاحق من هذا العام - ليصبح لحظة صرف نقدي كبيرة لصناديق رأس المال الاستثماري العالمية."
Startups | TechCrunch,"CodeRabbit تجمع 60 مليون دولار، وتقييم الشركة الناشئة لمراجعة الكود بالذكاء الاصطناعي البالغة من العمر عامين بـ 550 مليون دولار",https://techcrunch.com/2025/09/16/coderabbit-raises-60m-valuing-the-2-year-old-ai-code-review-startup-at-550m/,"Tue, 16 Sep 2025 19:00:00 +0000","الجولة، التي أوصلت إجمالي تمويل الشركة الناشئة البالغة من العمر عامين إلى 88 مليون دولار، كانت بقيادة Scale Venture Partners."
